"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Ayacucho",2001,15,785,70
"Ayacucho",2001,20,784,70
"Ayacucho",2001,25,783,70
"Ayacucho",2001,30,781,70
"Ayacucho",2001,50,767,70
"Ayacucho",2001,75,731,70
"Ayacucho",2002,10,138,70
"Ayacucho",2002,15,136,70
"Ayacucho",2002,20,134,70
"Ayacucho",2002,25,134,70
"Ayacucho",2002,30,133,70
"Ayacucho",2002,50,123,70
"Ayacucho",2002,75,113,70
"Ayacucho",2003,10,707,70
"Ayacucho",2003,15,706,70
"Ayacucho",2003,20,705,70
"Ayacucho",2003,25,704,70
"Ayacucho",2003,30,702,70
"Ayacucho",2003,50,685,70
"Ayacucho",2003,75,638,70
"Ayacucho",2004,10,802,70
"Ayacucho",2004,15,801,70
"Ayacucho",2004,20,799,70
"Ayacucho",2004,25,798,70
"Ayacucho",2004,30,797,70
"Ayacucho",2004,50,783,70
"Ayacucho",2004,75,733,70
"Ayacucho",2005,10,1030,70
"Ayacucho",2005,15,1030,70
"Ayacucho",2005,20,1028,70
"Ayacucho",2005,25,1027,70
"Ayacucho",2005,30,1026,70
"Ayacucho",2005,50,1009,70
"Ayacucho",2005,75,957,70
"Ayacucho",2006,10,1197,70
"Ayacucho",2006,15,1196,70
"Ayacucho",2006,20,1195,70
"Ayacucho",2006,25,1194,70
"Ayacucho",2006,30,1192,70
"Ayacucho",2006,50,1175,70
"Ayacucho",2006,75,1113,70
"Ayacucho",2007,10,890,70
"Ayacucho",2007,15,889,70
"Ayacucho",2007,20,888,70
"Ayacucho",2007,25,887,70
"Ayacucho",2007,30,886,70
"Ayacucho",2007,50,874,70
"Ayacucho",2007,75,829,70
"Ayacucho",2008,10,392,70
"Ayacucho",2008,15,392,70
"Ayacucho",2008,20,391,70
"Ayacucho",2008,25,391,70
"Ayacucho",2008,30,390,70
"Ayacucho",2008,50,384,70
"Ayacucho",2008,75,361,70
"Ayacucho",2009,10,1526,70
"Ayacucho",2009,15,1525,70
"Ayacucho",2009,20,1523,70
"Ayacucho",2009,25,1522,70
"Ayacucho",2009,30,1521,70
"Ayacucho",2009,50,1499,70
"Ayacucho",2009,75,1422,70
"Ayacucho",2010,10,605,70
"Ayacucho",2010,15,605,70
"Ayacucho",2010,20,603,70
"Ayacucho",2010,25,603,70
"Ayacucho",2010,30,601,70
"Ayacucho",2010,50,589,70
"Ayacucho",2010,75,556,70
"Ayacucho",2011,10,787,70
"Ayacucho",2011,15,785,70
"Ayacucho",2011,20,783,70
"Ayacucho",2011,25,782,70
"Ayacucho",2011,30,779,70
"Ayacucho",2011,50,763,70
"Ayacucho",2011,75,724,70
